tovarni_znacka,obchodni_oznaceni,typ
VOLKSWAGEN,GOLF GTE,hybrid
TOYOTA,PRIUS,hybrid
NISSAN,LEAF,elektro
TESLA,3,elektro
TESLA,S,elektro
TESLA,Y,elektro
TESLA,X,elektro
BMW,I3,elektro
BMW,I4,elektro
BMW,IX3,elektro
BMW,IX XDRIVE,elektro
ŠKODA,ENYAQ,elektro
TOYOTA,HYBRID,hybrid
RENAULT,HYBRID,hybrid
SEAT,HYBRID,hybrid
CUPRA,HYBRID,hybrid
FORD-CNG-TECHNIK,HYBRID,hybrid
PORSCHE,HYBRID,hybrid
MAZDA,HYBRID,hybrid
VOLVO,HYBRID,hybrid
HONDA,HYBRID,hybrid
MERCEDES-BENZ,HYBRID,hybrid
CHRYSLER,HYBRID,hybrid
FORD,HYBRID,hybrid
MASERATI,HYBRID,hybrid
MG,EHS,hybrid
MG,MG4,elektro
MG,MG5,elektro
MAXUS,MAXUS,elektro
BYD,TANG,elektro
NIO,E,elektro
VOYAH,FREE,elektro
JAC,IEV7S,elektro
